first name,last name ,email,friend first name,friend last name ,friend email,order number ,completed at,state,total amount spent
E,Wong,ewong@ewong.com,G,Tan,gtan@gtan.com,10052,2020-03-01 03:07:40 +0806,,264
E,Wong,ewong@ewong.com,A,Tan,atan@atan.com,10053,2020-03-01 03:07:40 +0807,,440
E,Wong,ewong@ewong.com,B,Tan,btan@btan.com,10054,2020-03-01 03:07:40 +0808,,220
E,Wong,ewong@ewong.com,C,Tan,ctan@ctan.com,10055,2020-03-01 03:07:40 +0809,,165
E,Wong,ewong@ewong.com,A,Tan,atan@atan.com,10056,2020-03-01 03:07:40 +0810,,88
E,Wong,ewong@ewong.com,B,Tan,btan@btan.com,10057,2020-03-01 03:07:40 +0811,,88
E,Wong,ewong@ewong.com,C,Tan,ctan@ctan.com,10058,2020-03-01 03:07:40 +0812,,88
F,Wong,fwong@fwong.com,A,Tan,atan@atan.com,10059,2020-03-01 03:07:40 +0813,,264
F,Wong,fwong@fwong.com,B,Tan,btan@btan.com,10060,2020-04-02 01:45:50 +0814,,264
F,Wong,fwong@fwong.com,C,Tan,ctan@ctan.com,10061,2020-04-02 01:45:50 +0814,,440
F,Wong,fwong@fwong.com,A,Tan,atan@atan.com,10062,2020-04-02 01:45:50 +0814,,220
F,Wong,fwong@fwong.com,D,Tan,dtan@dtan.com,10063,2020-04-02 01:45:50 +0814,,165
F,Wong,fwong@fwong.com,D,Tan,dtan@dtan.com,10064,2020-04-02 01:45:50 +0814,,352
F,Wong,fwong@fwong.com,D,Tan,dtan@dtan.com,10065,2020-04-02 01:45:50 +0814,,220
F,Wong,fwong@fwong.com,E,Tan,etan@etan.com,10066,2020-04-02 01:45:50 +0814,,88
F,Wong,fwong@fwong.com,F,Tan,ftan@ftan.com,10067,2020-04-02 01:45:50 +0814,,88
F,Wong,fwong@fwong.com,G,Tan,gtan@gtan.com,10068,2020-04-02 01:45:50 +0814,,88
F,Wong,fwong@fwong.com,H,Tan,htan@htan.com,10069,2020-04-02 01:45:50 +0814,,88
F,Wong,fwong@fwong.com,A,Tan,atan@atan.com,10070,2020-04-02 01:45:50 +0814,,88
G,Wong,gwong@gwong.com,A,Tan,atan@atan.com,10071,2020-04-02 01:45:50 +0814,,88
G,Wong,gwong@gwong.com,B,Tan,btan@btan.com,10072,2020-04-20 01:45:50 +0817,,88
G,Wong,gwong@gwong.com,C,Tan,ctan@ctan.com,10073,2020-04-20 01:45:50 +0817,,88
H,Wong,hwong@hwong.com,A,Tan,atan@atan.com,10074,2020-04-20 01:45:50 +0817,,88
H,Wong,hwong@hwong.com,D,Tan,dtan@dtan.com,10075,2020-04-20 01:45:50 +0817,,88
H,Wong,hwong@hwong.com,D,Tan,dtan@dtan.com,10076,2020-04-20 01:45:50 +0817,,88
H,Wong,hwong@hwong.com,A,Tan,atan@atan.com,10077,2020-04-20 01:45:50 +0817,,88
I,Wong,iwong@iwong.com,G,Tan,gtan@gtan.com,10078,2020-04-20 01:45:50 +0817,,88
J,Wong,jwong@jwong.com,H,Tan,htan@htan.com,10079,2020-04-20 01:45:50 +0817,,88
K,Wong,kwong@kwong.com,H,Tan,htan@htan.com,10080,2020-06-02 01:45:50 +0819,,88
L,Wong,lwong@lwong.com,F,Tan,ftan@ftan.com,10081,2020-06-02 01:45:50 +0819,,88
M,Wong,mwong@mwong.com,G,Tan,gtan@gtan.com,10082,2020-06-02 01:45:50 +0819,,88
N,Wong,nwong@nwong.com,G,Tan,gtan@gtan.com,10083,2020-06-02 01:45:50 +0819,,88
O,Wong,owong@owong.com,J,Tan,jtan@jtan.com,10084,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,K,Tan,ktan@ktan.com,10085,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,L,Tan,ltan@ltan.com,10086,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,M,Tan,mtan@mtan.com,10087,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,N,Tan,ntan@ntan.com,10088,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10089,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10090,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,K,Tan,ktan@ktan.com,10091,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,L,Tan,ltan@ltan.com,10092,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,M,Tan,mtan@mtan.com,10093,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,N,Tan,ntan@ntan.com,10094,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10095,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10096,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10097,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10098,2020-06-02 01:45:50 +0819,,88
P,Wong,pwong@pwong.com,O,Tan,otan@otan.com,10099,2020-06-02 01:45:50 +0819,,88
